Investor Name,Investor Name URL,Number of Investments,Number of Exited Companies,Location,Investor Type,Description,Website,Twitter,Facebook,LinkedIn,Number of Portfolio Companies,Number of Lead Investments,Program Type,Next Application Deadline,Program Duration,Crunchbase Rank,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
Trident Capital,https://www.crunchbase.com/organization/trident-capital,197,47,"Palo Alto, California, United States",Venture Capital,"Trident Capital is a venture capital and growth equity firm investing in software, business services and internet-focused companies.",http://www.tridentcap.com,http://twitter.com/tridentcapital,https://www.facebook.com/pages/Trident-Capital-Inc/101799959885695?fref=ts,https://www.linkedin.com/company/23038?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A23038%2Cidx%3A1-1-1%2CtarId%3A1440096742167%2Ctas%3ATrident%20Capital,115,70,,,,"2,255",-0.1,-0.3,-1.7
SAIF Partners,https://www.crunchbase.com/organization/saif-partners,195,20,"Hong Kong, Hong Kong Island, Hong Kong",Venture Capital,SAIF Partners is a venture and growth capital fund invested in helping Asia's exceptional companies grow from concept to IPO.,http://www.sbaif.com,http://twitter.com/SAIFPartners,https://www.facebook.com/pages/SAIF-Partners/356711454417715,,140,47,,,,216,1.9,6.2,6.2
Morado Venture Partners,https://www.crunchbase.com/organization/morado-ventures-partners,192,20,"Palo Alto, California, United States",Venture Capital,"Morado Venture Partners will focus on early-stage start-ups in the Internet consumer arena, as well as in the platform space.",http://www.moradoventures.com,,,,99,8,,,,"1,453",-0.4,-1.3,1.8
Tiger Global Management,https://www.crunchbase.com/organization/tiger-global,189,19,"New York, New York, United States",Hedge Fund,Tiger Global manages hedge funds and private equity funds by investing in local and global public and private equity markets.,http://tigerglobal.com,,,http://www.linkedin.com/company/tiger-global-management,112,98,,,,277,0.3,1.6,-0.5
IVP (Institutional Venture Partners),https://www.crunchbase.com/organization/institutional-venture-partners,188,65,"Menlo Park, California, United States",Venture Capital,Institutional Venture Partners is a California-based later-stage venture capital firm focused on technology and media companies.,http://www.ivp.com,http://twitter.com/ivp,http://www.facebook.com/institutionalventurepartners,http://www.linkedin.com/company/institutional-venture-partners-ivp,129,69,,,,762,-0.2,0.4,1.4
Social Capital,https://www.crunchbase.com/organization/social-capital,187,19,"Palo Alto, California, United States",Venture Capital,Social Capital is a California-based venture capital firm that funds technology-focused companies.,http://www.socialcapital.com,https://twitter.com/socialcapital,https://www.facebook.com/socialcapitallp,https://www.linkedin.com/company/2347197?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A2347197%2Cidx%3A1-1-1%2CtarId%3A1439008273814%2Ctas%3AThe%20Social%2BCapital%20Partnership,115,61,,,,121,-0.9,-0.1,0.0
Wavemaker Partners,https://www.crunchbase.com/organization/siemer-ventures,186,20,"Santa Monica, California, United States",Venture Capital,"Wavemaker Partners is a venture capital firm specializing in investments in seed, startup, early stage, bridge financing, and growth capital",http://wavemaker.vc,https://twitter.com/wavemaker_vc,http://www.facebook.com/siemer.ventures,https://www.linkedin.com/company/6407823,145,15,,,,934,-0.3,-0.9,-1.2
Enterprise Ireland,https://www.crunchbase.com/organization/enterprise-ireland,181,20,"Dublin, Dublin, Ireland",Government Office,Enterprise Ireland is the government agency responsible for the development and promotion of the indigenous business sector.,http://enterprise-ireland.com,http://twitter.com/entirl,http://www.facebook.com/EnterpriseIreland,http://www.linkedin.com/company/fdt-consulting-engineers-and-project-managers,162,10,,,,690,-0.4,0.7,1.3
Icon Ventures,https://www.crunchbase.com/organization/iconventures,170,51,"Palo Alto, California, United States",Venture Capital,Icon Ventures is a specialty venture capital firm focused on leading Series B or C financings.,http://www.iconventures.com,http://twitter.com/iconventures,https://www.facebook.com/pages/Icon-Ventures/1403615393270999,https://www.linkedin.com/company/icon-ventures?trk=company_logo,101,56,,,,"1,727",-0.2,1.6,2.5
Scale Venture Partners,https://www.crunchbase.com/organization/scale-venture-partners,168,47,"Foster City, California, United States",Venture Capital,"Scale Venture Partners invests in early-in-revenue technology companies involved in SaaS-based, cloud and mobile services.",http://www.scalevp.com,http://twitter.com/scalevp,http://www.facebook.com/scalevp,http://www.linkedin.com/company/scale-venture-partners,93,64,,,,589,-0.2,-0.1,-0.8
Cyberport Hong Kong,https://www.crunchbase.com/organization/cyberport-hong-kong,168,,"Hong Kong, Hong Kong Island, Hong Kong",Co-working Space,Cyberport Hong Kong is an ICT hub providing facilities and broadband network services to ICT industry startups and entrepreneurs.,http://cyberport.hk,http://twitter.com/cyberport_hk,http://www.facebook.com/cyberport.hk,http://www.linkedin.com/company/hong-kong-cyberport-management-company-limited,163,,,,,"5,781",0.6,0.9,1.1
Shenzhen Capital Group,https://www.crunchbase.com/organization/shenzhen-capital-group,160,23,"Shenzhen, Guangdong, China",Venture Capital,Shenzhen Capital Group is a venture capital firm formerly known as Shenzhen Innovation and Technology Investment company.,http://www.szvc.com.cn/Default.aspx,,,,139,11,,,,"4,378",0.0,-0.5,-2.1
Lighter Capital,https://www.crunchbase.com/organization/lighter-capital,159,5,"Seattle, Washington, United States",Venture Debt,"Lighter Capital is reinventing how small businesses get capital for growth, filling the gap between VCs and banks.",https://www.lightercapital.com,https://twitter.com/lightercapital,https://www.facebook.com/lightercapital/,https://www.linkedin.com/company/lighter-capital,108,85,,,,252,-0.4,0.8,-4.7
Carmel Ventures,https://www.crunchbase.com/organization/carmel-ventures,158,27,"Herzliya, Tel Aviv, Israel",Venture Capital,Carmel Ventures is a venture capital firm that invests in Israeli related early stage companies and builds global category companies.,http://www.viola-group.com/Carmelventures,http://twitter.com/carmelventures,http://www.facebook.com/CarmelVentures,http://www.linkedin.com/company/carmel-ventures,81,58,,,,"1,890",-0.4,-1.7,-3.4
Western Technology Investment,https://www.crunchbase.com/organization/western-technology-investment,155,35,"Portola Valley, California, United States",Venture Capital,"Western Technology Investment is a venture capital firm specializing in providing acquisition financing to teams, or revenue generating firm",http://www.westerntech.com,,,,131,10,,,,"1,664",-0.7,-1.6,-2.7
Thomas Korte,https://www.crunchbase.com/person/thomas-korte,154,22,"San Francisco, California, United States",Angel,"Thomas Korte is the founder of AngelPad, a seed-fund and startup accelerator based in San Francisco and New York.  AngelPad is ranked No. 1 U.S Accelerator by the Seed Rankings Project of MT/Rice University. Prior, Thomas worked at Google for 7 years staring in 2002. He was Google's first International Product Manager. He is the co-author of several patents related to improving efficiencies in search advertising and local search results that are now core to Google's business. Thomas' exits include Mopub (Twitter), Adku (Groupon), Spotsetter (Apple) among many others. His notable investments include Postmates, Angellist, DroneDeploy, Periscope Date amongst some 150 other companies. 99% of the time, Thomas is the first investor in a company.",,http://twitter.com/thomask,http://www.facebook.com/thomaskorte,http://www.linkedin.com/in/thomaskorte,105,,,,,"2,705",0.3,2.0,2.4
Storm Ventures,https://www.crunchbase.com/organization/storm-ventures,153,30,"Menlo Park, California, United States",Venture Capital,Storm Ventures is a $600m (TAM) VC firm 100% focused solely on early-stage enterprise investments.,http://stormventures.com,http://twitter.com/stormventures,http://www.facebook.com/StormVentures,https://www.linkedin.com/company/storm-ventures,83,37,,,,625,2.4,0.6,-0.6
AngelPad,https://www.crunchbase.com/organization/angelpad,147,17,"San Francisco, California, United States",Accelerator,AngelPad is a San Francisco and New York based startup accelerator for web and mobile technology companies.,http://www.angelpad.org,http://twitter.com/angelpad,http://www.facebook.com/angelpadorg,http://www.linkedin.com/company/angelpad-llc,99,,On Site,02/07/2016,12 weeks,230,-0.4,-1.1,-0.8
Converge Venture Partners,https://www.crunchbase.com/organization/commonangels,147,16,"Cambridge, Massachusetts, United States",Micro VC,"Converge Venture Partners is a seed and early stage fund, providing capital and connections for tech entrepreneurs.",http://convergevp.com/,https://twitter.com/convergevp,https://www.facebook.com/ConvergeVP/,https://www.linkedin.com/company/converge-venture-partners,72,15,,,,"1,137",-0.3,-0.4,-0.9
Carine Magescas,https://www.crunchbase.com/person/carine-magescas,147,17,"New York, New York, United States",Angel,"Carine Magescas is a Partner at  AngelPad, a seed-VC fund and Accelerator based in San Francisco and New York. AngelPad was ranked No.1 U.S Accelerator by the Seed Rankings Project of MIT/Rice University in 2015. After a Master’s and a Post-Graduate Degree in Economics from Université Paris Dauphine, one of France’s Top Universities, Carine spent 15 years working for Tech Startups (some of which are now very large companies like Business Objects and Informatica) in a wide range of positions from Technical Sales Engineer and European Project Leader, to Strategic Partner Director and Marketing Director.  In 2003, she pioneered E-commerce when she launched her own Startup in Home Design Furnishings, an entirely greenfield category back then. Carine is also an accomplished Fine Art Photographer. Her work has been exhibited in New York, London, San Francisco, Nantucket and hangs in private collections worldwide. See more of her work at carinemagescas.com",,http://twitter.com/carinemagescas,http://carinemagescas.com,https://www.linkedin.com/in/carinemagescas,99,,,,,"2,293",0.9,4.0,4.1
Intersouth Partners,https://www.crunchbase.com/organization/intersouth-partners,147,30,"Durham, North Carolina, United States",Venture Capital,"Intersouth Partners is one of the most active and experienced venture funds in the Southeast, having invested in more than 100 private",http://www.intersouth.com,http://twitter.com/intersouth,http://www.facebook.com/pages/Intersouth-Partners/12568563414607,http://www.linkedin.com/company/intersouth-partners,69,36,,,,"4,776",-0.2,-0.5,-0.8
Wellington Partners,https://www.crunchbase.com/organization/wellington-partners,144,25,"Munich, Bayern, Germany",Venture Capital,Wellington Partners is a venture capital firm that invests in technology and life sciences companies.,http://www.wellington-partners.com,http://twitter.com/wellingtonvc,http://www.facebook.com/wellingtonpartners,http://www.linkedin.com/company/wellington-partners,90,48,,,,628,4.0,5.3,4.2
"Andrew Boszhardt, Jr.",https://www.crunchbase.com/person/andrew-boszhardt,144,21,"New York, New York, United States",Angel,"Andy is Managing Partner of Great Oaks Venture Capital, LLC (GOVC). Prior to forming Great Oaks, Andy was a Managing Director and Portfolio Manager at Neuberger Berman; previously he provided wealth management services at Goldman Sachs from 1980 to 1996, serving as a Vice President starting in 1985. Andy holds an Accounting degree and an MBA from the University of Wisconsin-Madison. Andy is also the Founder and President of Great Oaks Capital Management, which previously managed a long/short equity hedge fund and continues to manage long-only equity portfolios and alternative equity products for high-net-worth individuals, families and institutions since 2003.",,,,https://www.linkedin.com/in/andrew-boszhardt-jr-6b9a025b,113,10,,,,"2,704",0.4,0.2,-0.4
Maveron,https://www.crunchbase.com/organization/maveron,143,20,"San Francisco, California, United States",Venture Capital,"Maveron is a California-based venture capital and private equity firm that finances seed, early, and later stage companies.",http://www.maveron.com,http://twitter.com/maveron,http://www.facebook.com/pages/Maveron/155165766148,http://www.linkedin.com/company/maveron-llc,99,42,,,,498,3.9,2.5,-0.5
Rev1 Ventures,https://www.crunchbase.com/organization/techcolumbus-2,143,5,"Columbus, Ohio, United States",Venture Capital,"Rev1 Ventures, a seed-stage venture development organization, manages investment support from a variety of strategic partners.",http://www.rev1ventures.com,http://twitter.com/rev1ventures,http://www.facebook.com/rev1ventures,http://www.linkedin.com/company/rev1ventures,108,18,,,,"2,915",-0.1,-1.5,-5.1
Matrix Partners China,https://www.crunchbase.com/organization/matrix-partners-china,142,6,"Beijing, Beijing, China",Venture Capital,"Matrix Partners China invests in entrepreneurs and companies, providing expertise and delivering value through local knowledge of China",http://www.matrixpartners.com.cn/,https://www.twitter.com/matrixpartners,,,103,19,,,,"1,108",6.7,7.2,5.7
Motorola Solutions Venture Capital,https://www.crunchbase.com/organization/motorola-solutions-venture-capital,140,57,"Chicago, Illinois, United States",Corporate Venture Capital,"Motorola Ventures helps turn great new ideas into thriving businesses. They are not a lab, but like one, they are about discovery. They",http://www.motorolasolutions.com/ventures,http://twitter.com/motorola,,,103,52,,,,"2,274",-0.2,-0.5,0.3
Pritzker Group Venture Capital,https://www.crunchbase.com/organization/pritzker-group-venture-capital,138,22,"Chicago, Illinois, United States",Venture Capital,Pritzker Group Venture Capital is a trusted partner helping entrepreneurs build market-leading technology companies,http://www.pritzkergroup.com/venture-capital/,http://twitter.com/PritzkerVC,,http://www.linkedin.com/company/the-pritzker-group/,103,21,,,,598,-1.1,-2.5,-2.2
